,Date,Source,Merchant,Site,Discount
0,2021-09-24,Rakuten,& Other Stories,stories.com,0.03
1,2021-09-24,Rakuten,A Pea in the Pod,apeainthepod.com,0.01
2,2021-09-24,Rakuten,A.L.C.,alc.com,0.03
3,2021-09-24,Rakuten,A4C,a4c.com,0.03
4,2021-09-24,Rakuten,Aaptiv,aaptiv.com,5.0
5,2021-09-24,Rakuten,Abaco Polarized Sunglasses,abacopolarized.com,0.1
6,2021-09-24,Rakuten,ABC Carpet & Home,abccarpetandhome.com,
7,2021-09-24,Rakuten,ABCmouse.com,abcmouse.com,2.0
8,2021-09-24,Rakuten,Abebooks,abebooks.com,0.025
9,2021-09-24,Rakuten,Abercrombie & Fitch,abercrombie.com,
10,2021-09-24,Rakuten,Abt Electronics,abtelectronics.com,0.02
11,2021-09-24,Rakuten,AC Lens,aclens.com,0.05
12,2021-09-24,Rakuten,Academy Sports & Outdoors,academysportsoutdoors.com,0.03
13,2021-09-24,Rakuten,Accor Hotels,accorhotels.com,
14,2021-09-24,Rakuten,AccuQuilt,accuquilt.com,0.025
15,2021-09-24,Rakuten,Ace Hardware,acehardware.com,0.02
16,2021-09-24,Rakuten,Acer,acer.com,0.03
17,2021-09-24,Rakuten,ACME Markets,acmemarkets.com,0.01
18,2021-09-24,Rakuten,Acme Tools,acmetools.com,0.015
19,2021-09-24,Rakuten,Adam & Eve,adameve.com,0.05
20,2021-09-24,Rakuten,Adam Lippes,adamlippes.com,0.06
21,2021-09-24,Rakuten,aden + anais,adenandanais.com,0.03
22,2021-09-24,Rakuten,adidas,adidas.com,0.13
23,2021-09-24,Rakuten,Admire My Skin,admiremyskin.com,0.1
24,2021-09-24,Rakuten,Adorama,adorama.com,0.01
25,2021-09-24,Rakuten,Adornmonde,adornmonde.com,0.05
26,2021-09-24,Rakuten,Adrianna Papell,adriannapapell.com,0.015
27,2021-09-24,Rakuten,Advance Auto Parts,advanceautoparts.com,0.02
28,2021-09-24,Rakuten,Adventure Academy,adventureacademy.com,0.02
29,2021-09-24,Rakuten,The Adventure Challenge,theadventurechallenge.com,0.025
30,2021-09-24,Rakuten,Aera,aeraforhome.com,0.03
31,2021-09-24,Rakuten,Aerie,aerieforamericaneagle.com,0.05
32,2021-09-24,Rakuten,Aeroflow Breastpumps,aeroflowbreastpumps.com,2.0
33,2021-09-24,Rakuten,AeroGarden,aerogarden.com,0.03
34,2021-09-24,Rakuten,Aeropostale,aero.com,0.04
35,2021-09-24,Rakuten,Aerosoles,aerosoles.com,0.025
36,2021-09-24,Rakuten,Aesop,aesop.com,0.03
37,2021-09-24,Rakuten,Agent Provocateur,agentprovocateur.com,0.025
38,2021-09-24,Rakuten,Agoda,agoda.com,0.04
39,2021-09-24,Rakuten,AHAlife,ahalife.com,0.04
40,2021-09-24,Rakuten,AHAVA,ahava.com,0.04
41,2021-09-24,Rakuten,Aimee Kestenberg,aimeekestenberg.com,0.035
42,2021-09-24,Rakuten,Air Filters Delivered,airfiltersdelivered.com,0.04
43,2021-09-24,Rakuten,Airport Parking Reservations,airportparkingreservations.com,0.1
44,2021-09-24,Rakuten,AirportRentalCars,airportrentalcars.com,0.04
45,2021-09-24,Rakuten,Airweave,airweave.com,0.02
46,2021-09-24,Rakuten,AJ Madison,ajmadison.com,0.01
47,2021-09-24,Rakuten,Alala,alalastyle.com,0.05
48,2021-09-24,Rakuten,Alamy,alamy.com,
49,2021-09-24,Rakuten,Albany Park,albanypark.com,0.01
50,2021-09-24,Rakuten,Albee Baby,albeebaby.com,0.01
51,2021-09-24,Rakuten,Albertsons,albertsons.com,0.01
52,2021-09-24,Rakuten,Aldo Shoes,aldoshoes.com,0.03
53,2021-09-24,Rakuten,Alex and Ani,alexandani.com,
54,2021-09-24,Rakuten,AlexandAlexa,alexandalexa.com,0.03
55,2021-09-24,Rakuten,Algenist,algenist.com,0.04
56,2021-09-24,Rakuten,Alibaba,alibaba.com,0.03
57,2021-09-24,Rakuten,Alibris,alibris.com,0.025
58,2021-09-24,Rakuten,alice + olivia,aliceolivia.com,0.02
59,2021-09-24,Rakuten,Alienware,alienware.com,0.02
60,2021-09-24,Rakuten,AliExpress,aliexpress.com,0.0275
61,2021-09-24,Rakuten,All Volleyball,allvolleyball.com,0.025
62,2021-09-24,Rakuten,Allen Edmonds,allenedmonds.com,0.02
63,2021-09-24,Rakuten,Allergy Buyers Club,allergybuyersclub.com,0.02
64,2021-09-24,Rakuten,Alleyoop,meetalleyoop.com,0.03
65,2021-09-24,Rakuten,Allied Shirts,alliedshirts.com,0.015
66,2021-09-24,Rakuten,Alloy Apparel,alloyapparel.com,0.075
67,2021-09-24,Rakuten,AllPosters,allposters.com,0.025
68,2021-09-24,Rakuten,AllSaints,allsaints.com,0.01
