Date,Source,Merchant,Site,Discount
2021-09-12,Rakuten,& Other Stories,stories.com,0.03
2021-09-12,Rakuten,A Pea in the Pod,apeainthepod.com,0.01
2021-09-12,Rakuten,A.L.C.,alc.com,0.03
2021-09-12,Rakuten,A4C,a4c.com,0.03
2021-09-12,Rakuten,Aaptiv,aaptiv.com,5
2021-09-12,Rakuten,Abaco Polarized Sunglasses,abacopolarized.com,0.1
2021-09-12,Rakuten,ABC Carpet & Home,abccarpetandhome.com,0.03
2021-09-12,Rakuten,ABCmouse.com,abcmouse.com,2
2021-09-12,Rakuten,Abebooks,abebooks.com,0.025
2021-09-12,Rakuten,Abercrombie & Fitch,abercrombie.com,nan
2021-09-12,Rakuten,Abt Electronics,abtelectronics.com,0.02
2021-09-12,Rakuten,AC Lens,aclens.com,0.05
2021-09-12,Rakuten,Academy Sports & Outdoors,academysportsoutdoors.com,0.01
2021-09-12,Rakuten,Accor Hotels,accorhotels.com,nan
2021-09-12,Rakuten,AccuQuilt,accuquilt.com,0.025
2021-09-12,Rakuten,Ace Hardware,acehardware.com,0.02
2021-09-12,Rakuten,Acer,acer.com,0.03
2021-09-12,Rakuten,ACME Markets,acmemarkets.com,0.01
2021-09-12,Rakuten,Acme Tools,acmetools.com,0.015
2021-09-12,Rakuten,Adam & Eve,adameve.com,0.05
2021-09-12,Rakuten,Adam Lippes,adamlippes.com,0.06
2021-09-12,Rakuten,aden + anais,adenandanais.com,0.03
2021-09-12,Rakuten,adidas,adidas.com,0.04
2021-09-12,Rakuten,Admire My Skin,admiremyskin.com,0.1
2021-09-12,Rakuten,Adorama,adorama.com,0.01
2021-09-12,Rakuten,Adornmonde,adornmonde.com,0.05
2021-09-12,Rakuten,Adrianna Papell,adriannapapell.com,0.015
2021-09-12,Rakuten,Advance Auto Parts,advanceautoparts.com,0.04
2021-09-12,Rakuten,Adventure Academy,adventureacademy.com,0.02
2021-09-12,Rakuten,The Adventure Challenge,theadventurechallenge.com,0.025
2021-09-12,Rakuten,Aera,aeraforhome.com,0.03
2021-09-12,Rakuten,Aerie,aerieforamericaneagle.com,0.01
2021-09-12,Rakuten,Aeroflow Breastpumps,aeroflowbreastpumps.com,2
2021-09-12,Rakuten,AeroGarden,aerogarden.com,0.03
2021-09-12,Rakuten,Aeropostale,aero.com,0.06
2021-09-12,Rakuten,Aerosoles,aerosoles.com,0.025
2021-09-12,Rakuten,Aesop,aesop.com,0.03
2021-09-12,Rakuten,Agent Provocateur,agentprovocateur.com,0.025
2021-09-12,Rakuten,Agoda,agoda.com,0.04
2021-09-12,Rakuten,AHAlife,ahalife.com,0.04
2021-09-12,Rakuten,AHAVA,ahava.com,0.04
2021-09-12,Rakuten,Aimee Kestenberg,aimeekestenberg.com,0.035
2021-09-12,Rakuten,Air Filters Delivered,airfiltersdelivered.com,0.04
2021-09-12,Rakuten,Airport Parking Reservations,airportparkingreservations.com,0.1
2021-09-12,Rakuten,AirportRentalCars,airportrentalcars.com,0.04
2021-09-12,Rakuten,Airweave,airweave.com,0.02
2021-09-12,Rakuten,AJ Madison,ajmadison.com,0.01
2021-09-12,Rakuten,Alala,alalastyle.com,0.05
2021-09-12,Rakuten,Alamy,alamy.com,0.05
2021-09-12,Rakuten,Albany Park,albanypark.com,0.01
2021-09-12,Rakuten,Albee Baby,albeebaby.com,0.01
2021-09-12,Rakuten,Albertsons,albertsons.com,0.01
2021-09-12,Rakuten,Aldo Shoes,aldoshoes.com,0.03
2021-09-12,Rakuten,Alex and Ani,alexandani.com,nan
2021-09-12,Rakuten,AlexandAlexa,alexandalexa.com,0.03
2021-09-12,Rakuten,Algenist,algenist.com,0.04
2021-09-12,Rakuten,Alibaba,alibaba.com,0.03
2021-09-12,Rakuten,Alibris,alibris.com,0.025
2021-09-12,Rakuten,alice + olivia,aliceolivia.com,0.02
2021-09-12,Rakuten,Alienware,alienware.com,0.02
2021-09-12,Rakuten,AliExpress,aliexpress.com,0.0275
2021-09-12,Rakuten,All Volleyball,allvolleyball.com,0.025
2021-09-12,Rakuten,Allen Edmonds,allenedmonds.com,0.02
2021-09-12,Rakuten,Allergy Buyers Club,allergybuyersclub.com,0.02
2021-09-12,Rakuten,Alleyoop,meetalleyoop.com,0.03
2021-09-12,Rakuten,Allied Shirts,alliedshirts.com,0.015
2021-09-12,Rakuten,Alloy Apparel,alloyapparel.com,0.075
