Merchant,2021-09-12,2021-09-18,2021-09-24
& Other Stories,0.03,0.03,0.03
1 Stop Florists,0.05,0.05,0.05
1 Up Nutrition,0.01,0.01,0.01
1-800 CONTACTS,0.08,0.08,0.08
1-800-4Clocks.com,0.02,0.02,0.02
1-800-PetMeds,0.01,0.01,0.01
100% Pure,0.025,0.025,0.025
123Inkjets,0.1,0.11,0.11
123Office,0.035,0.035,0.035
123RF,0.025,0.025,0.025
13Deals.com,0.02,0.02,0.02
1800AnyLens,0.06,0.06,0.06
1800BASKETS,0.05,0.05,0.05
1800FLOWERS,0.1,0.15,0.15
1800lighting.com,0.02,0.02,0.02
1MORE,0.04,0.04,0.04
1Password,0.25,0.25,0.275
1STOPlighting,0.055,0.055,0.055
1StopBedrooms,0.015,0.015,0.015
1ink.com,0.1,0.1,0.1
24S,0.03,0.03,0.03
2Modern,0.035,0.035,0.035
2xist.com,0.03,0.03,0.03
3.1 Phillip Lim,0.025,0.025,0.025
34 Heritage,0.02,0.02,0.02
360 Cookware,0.05,0.05,0.05
360Training,0.1,0.1,0.1
4 Wheel Drive Hardware,0.035,0.035,0.035
4 Wheel Parts,0.03,0.03,0.03
4Knines,,,0.05
4inkjets,0.09,0.09,0.09
4moms,0.025,0.025,0.025
4ocean,0.03,0.03,0.03
4th Ave Market,0.02,0.02,0.02
5 Star Nutrition,0.05,0.05,0.05
5.11 Tactical,0.03,0.03,0.03
66 North,0.02,0.02,0.02
686,0.025,0.025,0.025
7 For All Mankind,0.03,0.03,0.03
A Pea in the Pod,0.01,0.01,0.01
A.L.C.,0.03,0.03,0.03
A4C,0.03,0.03,0.03
ABC Carpet & Home,0.03,,
AC Lens,0.05,0.05,0.05
ACME Markets,0.01,0.01,0.01
AHAVA,0.04,0.04,0.04
AHAlife,0.04,0.04,0.04
AJ Madison,0.01,0.01,0.01
AMI Club Wear,0.05,0.05,0.05
AMOREPACIFIC,0.015,0.015,0.015
ANDREW MARC,0.04,0.04,0.04
ANINE BING,0.03,0.03,0.03
APT2B,0.01,0.01,0.01
ASICS,0.03,0.03,0.03
ASOS,0.025,0.025,0.025
ASTR the Label,0.05,0.05,0.05
ATM Anthony Thomas Melillo,0.04,0.04,0.04
ATN,0.025,0.025,0.025
ATTITUDE,0.0125,0.0125,0.0125
AUrate New York,0.035,0.035,0.035
AVG,0.15,0.15,0.15
Abaco Polarized Sunglasses,0.1,0.1,0.1
Abebooks,0.025,0.025,0.025
Abt Electronics,0.02,0.02,0.02
Academy Sports & Outdoors,0.01,0.01,0.03
AccuQuilt,0.025,0.025,0.025
Ace Hardware,0.02,0.02,0.02
Acer,0.03,0.03,0.03
Acme Tools,0.015,0.015,0.015
Adam & Eve,0.05,0.05,0.05
Adam Lippes,0.06,0.06,0.06
Admire My Skin,0.1,0.1,0.1
Adorama,0.01,0.01,0.01
Adornmonde,0.05,0.05,0.05
Adrianna Papell,0.015,0.015,0.015
Advance Auto Parts,0.04,0.08,0.02
Adventure Academy,0.02,0.02,0.02
Aera,0.03,0.03,0.03
Aerie,0.01,0.01,0.05
AeroGarden,0.03,0.03,0.03
Aeropostale,0.06,0.06,0.04
